ردیف,priority,سال,بخش,ماده,بخش (ماده),موضوع,بند,خلاصه,شرح
26,1,1364,اول,32,اول (32),بیماریهای عمومی,26,کوتاهی قد,"کوتاهی قد
در مورد طول قد مشمول با در نظر گرفتن سن و کوتاهی قد به شرح زیر عمل شود: 
الف - طول قد از 140 سانتیمتر و کمتر از آن در هر سن: معاف دائم 
ب - طول قد بیش از 140 سانتیمتر تا 145 سانتیمتر در صورتیکه سن مشمول کمتر از 22 سال تمام باشد، معاف موقت یکساله و اگر سن وی 22 سال تمام یا بیشتر باشد: معاف دائم 
ج - طول قد بیش از 145 سانتیمتر و کمتر از 150 سانتیمتر: خدمت در امور غیرزرمی 
د - طول قد مشمولان از 150 سانتیمتر و بیشتر: قابل خدمت تبصره استاندارد قد مشمولان برحسب نیازمندی های نیروهای مسلح جمهوری اسلامی با تشخیص و تصویب ستاد مشترک ارتش جمهوری اسلامی ایران قابل تغییر خواهد بود."
27,1,1364,دوم,33,دوم (33),بیماریهای غدد مترشحه داخلی,1,بیماریهای غده هیپوفیز,"بیماری های غده هیپوفیز:
الف - آکرومگالی: معاف دائم 
ب - ژیگانتیسم: معاف دائم 
ج - سندروم کوشینگ: معاف دائم 
د - سندروم هیپوفونکیسون کلی هیپوفیز: معاف دائم 
ه - کلیه آدنوم های هیپوفیز: معاف دائم 
و - دیابت بی مزه: معاف دائم"
28,1,1364,دوم,33,دوم (33),بیماریهای غدد مترشحه داخلی,2,بیماری های غدد تیروئید,"بیماریهای غده تیروئید:
الف - ندول های گرم: معاف دائم 
ب - ندول های سرد: خدمات غیررزمی 
ج - هیپوتیروئیدی 1- در فورم شدید: معاف دائم 2- در فورم خفیف و بدون عارضه: خدمات غیررزمی 
د - گواترهای حجیم که موجب اختلالات عملی و فیزیکی شده باشد: معاف دائم 
ه - کلیه گواترهای عمل شده (ثبوت باسنتوگرافی ) در مشمولان عادی و دیپلمه، معاف دائم و در مشمولان بالاتر از دیپلم: خدمات غیررزمی 
و - تیروئیدیت های مزمن و حاد معاف: موقت یکساله"
29,1,1364,دوم,33,دوم (33),بیماریهای غدد مترشحه داخلی,3,بیماری های غده پارا تیروئید,"بیماری های غده پاراتیروئید:
الف - هیپوپاراتیروئیدی (تتانی )، معاف دائم و در سایر موارد: خدمت غیررزمی 
ب - هیپرپاراتیروئیدی: معاف دائم"
30,1,1364,دوم,33,دوم (33),بیماریهای غدد مترشحه داخلی,4,بیماری های غده سورنال,"بیماری های غده سورنال:
الف - نارسائی کورتیکوسورنال (بیماری آدیسن): معاف دائم 
ب - هیپرفونکسیون سورنال (بیماری کوشینگ سندروم متابولیک): معاف دائم 
ج - سندروم هیپوفونکسیونمان مدولوسورنال (فئوکروموسیتوم): معاف دائم"
31,1,1364,دوم,33,دوم (33),بیماریهای غدد مترشحه داخلی,5,بیماری های غدد بیضه,"بیماریهای غدد بیضه:
الف- صغر بیضتین توام با اختلالات هورمونی: معاف دائم 
ب -تومورهای بیضه توام با هیپو یا هیپرفونکسیون بیضه: معاف دائم 
ج- سندروم کلاین فلتر (صغر بیضتین ژینکوماستی آزواسپرمی): معاف دائم"
32,1,1364,دوم,33,دوم (33),بیماریهای غدد مترشحه داخلی,6,بیماری های غدد (سایر),"بیماریهای دیگر غدد:
الف - تومور تیموس: معاف دائم 
ب - تومور اپیفیز: معاف دائم 
ج - هرمافرودیسم ها: معاف دائم 
د - ژینگوماستی 1- یکطرفه: معاف موقت یکساله 2-دوطرفه شدید: معاف دائم 3- دو طرفه خفیف: خدمت غیررزمی"
33,1,1364,دوم,33,دوم (33),بیماریهای غدد مترشحه داخلی,7,بیماری های تغذیه و متابولیک,"بیماریهای تغذیه و متابولیک:
الف -  دیابت قندی: معاف دائم
ب  - هیپرانسولینیسم (تومورهای جزائر لانگرهانس): معاف دائم 
ج -  بالا بودن اسید اوریک خون (نقرس) 1- با عوارض مفصلی: معاف دائم  2- بدون عوارض مفصلی: خدمات غیررزمی 
د- استئومالاسی: معاف دائم
ه- هیپرلیپمی و هیپرتری گلیسریدمی که شامل ازدیاد کلسترول و تری گلیسیرید و لیپیدتوتال میباشد( به شرط ثبوت در مراکز تخصصی - غدد مترشحه داخلی ): معاف دائم 
و - چاقی مفرط: باتوجه به وزن مناسب، فرد به شرح زیر عمل میشود:
- وزن مناسب: طول قد منهای 100 بعلاوه 2
1- چنانچه مشمول از 40 % وزن مناسب به بالا اضافه وزن داشته باشد چاق مفرط محسوب میشود: معاف دائم
2- اگر اضافه وزن مشمول بین 30 % تا 40 % وزن مناسب باشد: خدمات غیر رزمی
3- اگر اضافه وزن  کمتر از 30 % وزن مناسب باشد: قابل خدمت"
34,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,1,آکنه ,انواع آکنه های سیستیک و کونگولوباتا وسیع و شدید: معاف دائم
35,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,2,اگزما و کهیر,اگزماهای نسبتا وسیع و اگزماهای سرشتی (آتوپیک) و کهیر در صورتیکه مزمن گشته یا به معالجات مقاوم باشند: معاف دائم
36,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,3,حساسیت نسبت به مواد شیمیائی,بیماری های پوستی که در اثر حساسیت نسبت به مواد شیمیائی (شغلی - داروئی) ایجاد شده و به درمان مقاوم یا عود کننده باشند: خدمات غیررزمی
37,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,4,عفونت های قارچی,عفونت های قارچی عمقی و فورونکولوز درصورتیکه گسترده و مزمن بوده و به درمان مقاوم باشند: معاف دائم
38,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,5,زیادی ترشح عرق دست و پا,زیادی ترشح عرق دست و پا در صورتیکه شدید باشد در مشمولان بالاتر از دیپلم: خدمات غیررزمی
39,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,6,ایکتیوز گسترده,ایکتیوز گسترده در مشمولان عادی و دیپلمه: معافیت دائم و در مشمولان بالاتر از دیپلم: خدمات غیررزمی
40,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,7,لیکن پلان,لیکن پلان پوستی در صورتیکه شدید و گسترده باشد و لیکن پلان مخاطی در صورتیکه گسترده بوده و با درد و سوزش همراه باشد: معاف دائم
41,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,8,پسوریازیس,پسوریازیس های شدید و گسترده و انورسه: معاف دائم
42,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,9,پاراپسوریازیس,پاراپسوریازیس ها و پیتیریازیس روبرا پیلیسر شدید و پیشرفته: معاف دائم
43,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,10,درماتیت های بولوز,درماتیت های بولوز غیر میکروبی اکتسابی و درماتیت های بولوز مادرزادی آکرودرماتیت مزمن هالوپوآکرودرماتیتیس آنترواتیکا: معاف دائم
44,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,11,عوارض پوستی جذام,عوارض پوستی جذام به هرشکلی که باشد: معاف دائم
45,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,12,فوتوآلرژی و  فتوتوسانسیتیلزاسیون ,فوتوآلرژی و فتوتوسانسیتیلزاسیون پورفیریهای پوستی و هربیماری پوستی که با نور خورشید تشدید شود: معاف دائم
46,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,13,درسل ها و بیماری بنیه بوک شومن و ..,"درسل های پوستی و بیماری بنیه بوک شومن و بیماری نیکولافاور به شرح زیر رفتار شود:
الف -  یکسال معاف موقت برای درمان داده شود.
ب  - پس از یکسال چنانچه بهبود یافته باشد در خدمات غیررزمی به خدمت اعزام شود.
ج  - درصورت عدم بهبودی پس از یکسال طبق ماده 21 این آئین نامه رفتار شود."
47,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,14,لوپوس,لوپوس اریتماتو سیستمیک و لوپوس اریتماتو دیسکوئید: معاف دائم
48,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,15,نوروفیبروماتو,"بیماری رکلین هاوزن (نوروفیبروماتو): معاف دائم 
تبصره در اشکال خفیف و نواحی غیر مکشوف: خدمات غیررزمی"
49,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,16,خال های سیاه و آنژیوم,خال های سیاه و آنژیوم درصورتیکه وسیع و بد منظره بوده یا موضعا در محلی باشند که در معرض تحریک دائمی قراردارد: معاف دائم
50,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,17,هماتودرمیها,هماتودرمیها (میکوزیس فونگوئید رتیکولوزهای بدخیم لوسمی ها لوکوزها): معاف دائم
51,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,18,سیکاتریس التیام های پوستی,التیام های پوستی (سیکاتریس) درصورتیکه وسیع و عمیق بوده یا چسبندگی به اطراف داشته به طوریکه مانع حمل تجهیزات و تمرینات نظامی بوده و یا تمایل به زخم شدن داشته باشد و یا اختلال عملی تولید نموده باشد: معاف دائم
52,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,19,اسکلرودرمی ها,"اسکلرودرمی ها
آتروفی های پوستی و دیستروفی های نسوج در صورتیکه وسیع یا پیشرونده باشند: معاف دائم"
53,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,20,گزانتوماتوزهای هیپرکلسترولیک,گزانتوماتوزهای هیپرکلسترولیک (هیپربتا) و هیپوتری گلیسریدمیک (هیپر پره بتا و انواع مخلوط آن) گزانتوماتوزهای ثانوی و ضایعات پوستی بیماریهای دیس متابولیک دیگر مانند آمیلوئیدوز کوتانه و موسینوز فولیکولر میکزدم اسکلرومیکزدم پره تیبیال و هیالینوز کوتانه و موکوز در تمام موارد: معاف دائم
54,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,21,هیپرکراتوز شدید,هیپرکراتوز شدید کف پا یا دست: معاف دائم
55,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,22,ویتیلیگو,ویتیلیگو درصورتیکه گسترده بوده یا کراهت منظر ایجاد نموده باشد و پلاد دکالوانت توتال: معاف دائم
56,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,23,آرترولاگی,آرترولاگی های مزمن به هرعلتی که باشد: معاف دائم
57,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,24,عوارض پوستی اختلالات عروقی,عوارض پوستی که در اثر اختلالات عروقی ایجاد شده باشد مانند فلبیت و پری فلبیت که با ورم مزمن اندام توام گردیده باشد و آندارتریت مسدود کننده اکروسیانوز آنگروآسفیکی (بیماری رینو) آتروفی بلانش میلیان (درصورتیکه منجربه زخم مزمن ساق پا گردند): معاف دائم
58,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,25,هیپودرمیت,هیپودرمیت های آندولر و شدید و منتشر و مقاوم و یا توام با علائم سیستمیک: معاف دائم
59,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,26,سرطان,سرطان و تومورهای بدخیم پوستی: معاف دائم
60,1,1364,سوم,34,سوم (34),بیماری های پوست و بافت های زیرپوست,27,سایر عوارض پوستی,"هر نوع عارضه دیگر پوستی یا آمیزشی که مزمن بوده و نوع آن طوری باشد که احتیاج مکرر به معالجه و یا بستری شدن داشته یا اینکه اشکالاتی در انجام وظایف نظامی ایجاد نماید و یا قیافه را به نحوی تغییر دهد که باعث ناراحتی در معاشرت های اجتماعی گردد، معاف دائم تجویزشود."
61,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,1,اختلالات استحاله ای سلول های عصبی,اختلالات استحاله ای سلول های عصبی از هر نوع: معاف دائم
62,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,2,اختلالات تعادلی,اختلالات تعادلی مخچه ای و اختلالات تعادلی (مانند بیماری فریدرایش): معاف دائم
63,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,3,اختلالات عروقی مغز,اختلالات عروقی مغز و در صورت وجود عوارض : معاف دائم
64,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,4,انواع میلیت,انواع میلیت و سکل آنها: معاف دائم
65,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,5,آنسفالیت و آنسفالوپاتی,انواع آنسفالیت و سکل آنها و آنسفالوپاتیها: معاف دائم
66,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,6,کره های نیمه مزمن و مزمن,کره های نیمه مزمن و مزمن: معاف دائم
67,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,7,اسکلروزآن پلاک,اسکلروزآن پلاک در صورت استقرار کامل بیماری: معاف دائم
68,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,8,اختلالات تروفیک عضله,"انواع صغر عضلانی مشهود و اختلالات تروفیک در صورت وجود ضعف عضلانی با تایید EMG ،NCV به شرح زیر رفتار شود: 
الف - درصورتیکه صغر عضلانی مختصر و محدود بوده و موجب اختلال در عمل عضو به طور واضح نشده باشد: خدمات غیررزمی 
ب - در صورتیکه همراه با اختلال عملی شدید بوده و یا اینکه در چند عضله استقرار یافته و یا پیشرفته باشد: معاف دائم"
69,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,9,انواع میوپاتی,انواع میوپاتی های اصلی و ثانوی: معاف دائم
70,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,10,اختلالات مادرزادی عصبی,اختلالات مادرزادی عصبی از هر نوع: معاف دائم
71,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,11,میگرن عصبی,میگرن عصبی به شرط حملات مکرر در صورتیکه با دیس ریتمی مغز توام باشد: خدمات غیررزمی
72,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,12,فلج اعصاب,فلج اعصاب مهم که سبب اختلالات عملی واضح شده باشد: معاف دائم
73,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,13,همی پلژیها و پاراپلژیها,انواع همی پلژیها و پاراپلژیها: معاف دائم
74,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,14,اختلالات دستگاه خارج هرمی,انواع اختلالات و حرکات غیرطبیعی عضوی مربوط به دستگاه خارج هرمی و سایر اختلالات حرکتی غیرعضوی روانی که کاملا به ثبوت رسیده باشد: معاف دائم
75,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,15,اختلالات تنوس عضلانی,اختلالات تنوس عضلانی چه در جهت کم شدن و چه در جهت شدت یافتن (مانند تورتیکولی اسپاسمودیک): معاف دائم
76,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,16,سیفلیس عصبی عروقی,"سیفلیس عصبی عروقی پارانشیماتوز(مانند ضایعات عروقی سیفلیس فالج مترقی، تابس و غیره ): معاف دائم"
77,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,17,انواع صرع,"انواع صرع به شرط آنکه در یکی از بیمارستان های نیروهای مسلح توسط متخصصین اعصاب و روان که در آن بیمارستان ها مشغول انجام وظیفه هستند تایید و با آزمایش الکتروآنسفالوگرافی EECG به ثبوت رسیده باشد و یا اینکه حمله صرع توسط دو نفر از متخصصین فوق الذکر مشاهده شده و مورد تایید آنان قرارگرفته باشد معافیت دائم تجویزشود. 
تبصره - در صورتیکه به بیمارستانهای نیروهای مسلح دسترسی نباشد در بیمارستانهای دانشکده های پزشکی نیز به شرح فوق میتوان در مورد معاینه مشمولین به صرع اقدام نمود."
78,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,18,اختلال عصبی همراه با صغر عضلانی,اختلالات عصبی محیطی که با صغر عضلانی و یا با اختلالات عملی مهم توام باشد: معاف دائم
79,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,19,پلی نوریت,انواع پلی نوریت های بهبود نیافته و سکل آنها در مورد مشمولان عادی و دیپلمه معاف دائم و در مورد مشمولان بالاتر از دیپلم خدمات غیر رزمی
80,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,20,نوریت های دردناک,"نوریت های دردناک مانند نورالژی عصب سه قلو و درد عصب سیاتیک در مشمولان عادی و دیپلمه، معاف دائم و در مشمولان بالاتر از دیپلم: خدمات غیررزمی"
81,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,21,نوروفیبروماتوزها,انواع نوروفیبروماتوزها: معاف دائم  در اشکال خفیف محدود به نواحی غیر مشکوف : خدمات غیررزمی
82,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,22,خونریزی های سربرومننژه,انواع خونریزی های سربرومننژه (مغز و پرده های مغز): معاف دائم
83,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,23,مننژیت های مزمن,سابقه مننژیت های مزمن مانند مننژیت سلی و سکل انواع مننژیت: معاف دائم
84,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,24,پسیکوزها,انواع پسیکوزها (ماننداسکیزوفرنی پسیکوز مانیاکو دپرسیو پارانویا دپرسیونهای آندروژن و غیره ): معاف دائم
85,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,25,پسیکاستنی و پسیکونوروزها و اختلالات پسیکوسوماتیک,پسیکاستنی و پسیکونوروزها و اختلالات پسیکوسوماتیک شدید و مزاحم معاف دائم
86,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,26,اختلالات رفتار,اختلالات رفتار(عدم تعادی عصبی و روانی و کژخوئیها) به طوریکه رفتار شخص مخالف شئون نظامی باشد و کلیه انحرافات اخلاقی و جنسی از قبیل ترانسویستزم (TRANSVISTESME): معاف دائم
87,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,27,نوروپاتی های شدید,"انواع نوروپاتی های شدید و اختلالات عاطفی مانند شب ادراری به تشخیص پزشکان متخصص و صلاحیتدار: معاف دائم 
تبصره - در نوروپاتی لکنت زبان به شرطی که علاوه بر علائم بالینی استشهاد محلی و گواهی مقامات محل مانند کدخدای ده، ژاندارمری، کلانتری و مدرسه ای که در آن درس میخواند و غیره نیز بیماری را تایید کند در موارد شدید معافیت دائم و در موارد خفیف که لکنت زبان محدود به سیلاب های معین بوده و کوتاه باشد: خدمات غیررزمی"
88,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,28,نقیصه های عقلانی,انواع نقیصه های عقلانی و کند ذهنی ها (دبیلیته مانتال) تا سطح عقلانی 42 ساله: معاف دائم
89,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,29,بهت روانی,انواع بهت روانی (کنفوزیون مانتال) اولیه یا ثانویه: معاف دائم
90,1,1364,چهارم,35,چهارم (35),بیماری های اعصاب و روان,30,اعتیاد به مواد مخدر,اعتیاد به مواد مخدر به شرط آنکه توام با پیسکوپاتی یانوروپاتی و با عدم تعادل روانی باشد: معاف دائم
91,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,1,معایب مادرزادی ستون فقرات,"معایب مادرزادی ستون فقرات (کلپل فایل، آرنولدکیاری و سایر ناهنجاریهای مهره ای) معاف دائم 
تبصره - در مورد ناهنجاری مهره ای اسپینابیفیدا چنانچه با عوارض عصبی شدید توام باشد، معاف دائم و چنانچه با عوارض عصبی خفیف همراه باشد، خدمات غیررزمی و چنانچه بدون عوارض باشد، خدمت صف تجویز شود."
92,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,2,هرنی دیسک,انواع هرنی دیسکال (تشخیص بامیلوگرافی در بیمارستانهای دولتی) چه عمل شده و چه عمل نشده باشد: معاف دائم
93,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,3,تومورهای استخوانی,"انواع تومورهای استخوانی ستون فقرات و جمجمه به شرح زیر رفتارشود:  
الف - تومورهای استخوانی بدخیم ستون فقرات و جمجمه: معاف دائم 
ب - تومورهای استخوانی خوش خیم ستون فقرات و جمجمه چنانچه از نظر حجم و موقعیت با اخلال عملی توام باشد: معاف دائم و در موارد دیگر که عوارض خفیف داشته باشد در مشمولان بالاتر از دیپلم، خدمات غیررزمی و مشمولان عادی و دیپلمه: معاف دائم 
ج - تومورهای استخوانی خوش خیم ستون فقرات و جمجمه بدون عوارض عصبی خدمات غیررزمی"
94,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,4,شکستگی های مهره ها,"انواع شکستگی های تازه و کهنه مهره ها بدنه تیغه و زوائد مفصلی در صورتیکه توام با اختلالات عملی یا عصبی شدید باشد، معاف دائم و در اشکال همراه با اختلالات عصبی و عملی خفیف: خدمات غیررزمی"
95,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,5,ستون فقرات,انواع بیماریهای مزمن و حاد ستون فقرات مانند مال دوبوت بشتریوسیفوز ژونیل: معاف دائم
96,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,6,دنده گردنی,دنده گردنی یکطرفی یا دوطرفی همراه با عوارض عروقی یا عصبی معاف دائم و بدون عوارض عروقی و یا عصبی: خدمات غیررزمی
97,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,7,تغییر شکل مادرزادی واضح جمجمه,تغییر شکل مادرزادی واضح جمجمه مانند بیماری کرون هیدروسفالی: معاف دائم
